SUBJECT,TEXT,OSPAN,SSPAN,COM1,COM2,COM3,INT1,INT2,INT3,FAM1,FAM2,FAM3,VOL,INV
2,Netz,0.752380952,0.690793651,3,3,3,3,3,3,1,2,1,0,0.25
2,Wind,0.752380952,0.690793651,1,1,2,1,1,0,3,2,2,0.25,0.25
2,Spek,0.752380952,0.690793651,3,2,2,1,1,1,0,0,0,0,0.25
3,Netz,0.797949735,0.409943978,2,2,2,2,2,2,2,3,2,0,0.6
3,Wind,0.797949735,0.409943978,0,0,3,1,1,1,1,0,1,0,0.8
3,Spek,0.797949735,0.409943978,2,2,1,2,1,1,2,1,1,0,0.5
4,Netz,0.87625,0.719047619,3,2,3,2,2,2,0,1,1,0,0.2
4,Wind,0.87625,0.719047619,2,1,1,2,1,1,1,2,1,0,0.333333333
4,Spek,0.87625,0.719047619,3,2,3,2,1,1,1,2,1,0,0.25
5,Netz,0.843734336,0.632034632,3,3,3,3,3,3,2,3,3,0,0
5,Wind,0.843734336,0.632034632,2,1,1,1,1,1,1,1,1,0,0.333333333
5,Spek,0.843734336,0.632034632,2,1,1,1,0,1,0,1,1,0,0
6,Netz,0.864035088,0.78,3,3,3,2,1,1,1,2,1,0,0.2
6,Wind,0.864035088,0.78,3,3,1,2,1,1,1,2,2,0,0.166666667
6,Spek,0.864035088,0.78,2,3,3,0,0,0,1,2,1,0,0
7,Netz,0.684206349,0.782275132,3,3,3,3,3,3,3,3,3,0,0
7,Wind,0.684206349,0.782275132,2,2,1,2,1,1,1,2,1,0,0.4
7,Spek,0.684206349,0.782275132,3,2,3,2,1,1,1,1,1,0,0.2
8,Netz,0.178911565,0.239047619,2,1,2,3,2,3,0,0,0,0,0
8,Wind,0.178911565,0.239047619,2,0,2,0,0,0,0,0,0,0,0.4
8,Spek,0.178911565,0.239047619,2,3,3,0,0,2,2,2,2,0,0.166666667
9,Netz,0.772619048,0.586309524,1,1,1,2,2,2,1,2,2,0.25,0.5
9,Wind,0.772619048,0.586309524,1,1,0,1,0,0,1,2,1,0,0.25
9,Spek,0.772619048,0.586309524,2,1,3,1,1,2,1,1,1,0.6,0.2
10,Netz,0.547777778,0.552597403,2,1,1,1,1,1,0,0,0,0.5,0.5
10,Wind,0.547777778,0.552597403,2,1,2,0,1,0,1,1,2,0,0.5
10,Spek,0.547777778,0.552597403,2,1,2,2,2,1,2,2,3,0.333333333,0.333333333
11,Netz,0.871354167,0.609259259,3,2,3,2,2,1,1,1,1,0,0
11,Wind,0.871354167,0.609259259,3,2,1,1,1,1,2,2,1,0,0.2
